"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jul-2020","    10323.80","    10447.05","    10299.60","    10430.05","      573550127","        28736.28"
"02-Jul-2020","    10493.05","    10598.20","    10485.55","    10551.70","      597423931","        31235.17"
"03-Jul-2020","    10614.95","    10631.30","    10562.65","    10607.35","      525190704","        25186.39"
"06-Jul-2020","    10723.85","    10811.40","    10695.10","    10763.65","      571212914","        29857.54"
"07-Jul-2020","    10802.85","    10813.80","    10689.70","    10799.65","      636764929","        36502.37"
"08-Jul-2020","    10818.65","    10847.85","    10676.55","    10705.75","      767941333","        37676.34"
"09-Jul-2020","    10755.55","    10836.85","    10733.00","    10813.45","      618652409","        31315.87"
"10-Jul-2020","    10764.10","    10819.40","    10713.00","    10768.05","      590705425","        31557.58"
"13-Jul-2020","    10851.85","    10894.05","    10756.05","    10802.70","      554050579","        30606.30"
"14-Jul-2020","    10750.85","    10755.65","    10562.90","    10607.35","      532368699","        30902.47"
