date,open,high,low,close,diff,diff_perd,qty
2022-12-09,309.81,312.06,308.76,311.44,3.2,1.04%,74731
2022-12-08,308.78,309,306.01,308.24,-0.03,-0.01%,121095
2022-12-07,309.11,310.25,308.08,308.27,-1.87,-0.60%,92852
2022-12-06,310.9,313.34,309.7,310.14,-3.77,-1.20%,100040
2022-12-05,316.26,317.07,312.92,313.91,-1.11,-0.35%,113970
2022-12-02,320.76,320.76,315.02,315.02,-7,-2.17%,114750
2022-12-01,325.37,325.49,321.44,322.02,1.02,0.32%,130317
2022-11-30,314.35,321.01,314.2,321,5.42,1.72%,189080
2022-11-29,311.79,315.74,311.07,315.58,3.37,1.08%,94417
2022-11-28,313.89,313.89,311.28,312.21,-3.86,-1.22%,95021
2022-11-25,317.28,318.1,315.76,316.07,-1.23,-0.39%,102914
2022-11-24,316.6,317.33,315.27,317.3,3.19,1.02%,99544
2022-11-23,314.84,315.24,312.65,314.11,2.09,0.67%,148269
2022-11-22,312.88,315.09,311.69,312.02,-2.65,-0.84%,115972
2022-11-21,317.22,317.65,312.99,314.67,-2.45,-0.77%,123416
2022-11-18,317.63,320.7,316.7,317.12,0.37,0.12%,136518
2022-11-17,319.98,320.35,316.75,316.75,-5.21,-1.62%,157359
2022-11-16,322.98,322.98,318.02,321.96,-0.35,-0.11%,177085
2022-11-15,322.76,323.03,319.96,322.31,0.78,0.24%,144811
2022-11-14,323.41,324.73,320.86,321.53,-1.56,-0.48%,267590
2022-11-11,320.47,323.51,319.97,323.09,11.96,3.84%,236342
2022-11-10,312.63,314.91,311.13,311.13,-4.1,-1.30%,149974
2022-11-09,313.4,316.09,312.54,315.23,3.22,1.03%,162126
2022-11-08,310.08,312.57,309.21,312.01,4.14,1.34%,142951
2022-11-07,306.08,308.15,305.05,307.87,3.54,1.16%,148868
2022-11-04,301.16,304.33,299.46,304.33,2.67,0.89%,182715
2022-11-03,298.55,303.8,297.62,301.66,-2.21,-0.73%,179815
2022-11-02,302.49,305.1,302.02,303.87,-0.01,0.00%,192341
2022-11-01,300.53,304.01,299.84,303.88,4.3,1.44%,272490
2022-10-31,298.61,300.05,296.45,299.58,4.52,1.53%,121050
2022-10-28,296.8,298.45,294.65,295.06,-3.76,-1.26%,131077
2022-10-27,295.85,299.19,295.01,298.82,4.97,1.69%,176203
2022-10-26,292.21,295.28,291.4,293.85,2.27,0.78%,122301
2022-10-25,291.29,293.75,290.53,291.58,0.11,0.04%,116351
2022-10-24,293.6,294.24,290.52,291.47,2.9,1.00%,116175
2022-10-21,287.68,290.38,287.44,288.57,-0.04,-0.01%,102369
2022-10-20,289.33,290.07,286.5,288.61,-2.68,-0.92%,136903
2022-10-19,293.41,295.34,290.9,291.29,-2.3,-0.78%,110850
2022-10-18,293.34,293.78,289.77,293.59,4.02,1.39%,117118
2022-10-17,285.89,290.04,284.91,289.57,0.21,0.07%,111596
2022-10-14,287.59,290.32,286.59,289.36,6.79,2.40%,132068
2022-10-13,286.27,286.36,282.57,282.57,-4.52,-1.57%,133288
2022-10-12,285.23,287.52,284.32,287.09,2.13,0.75%,120861
2022-10-11,284.39,284.96,282.04,284.96,-5.45,-1.88%,127821
2022-10-07,288.35,292.2,287.84,290.41,-0.85,-0.29%,128156
2022-10-06,291.2,293.32,290.09,291.26,2.21,0.76%,93858
2022-10-05,293.87,294.47,287.44,289.05,0.78,0.27%,138906
2022-10-04,286.25,288.96,285.42,288.27,6.91,2.46%,120019
2022-09-30,281.75,284.35,278.39,281.36,-1.29,-0.46%,143737
2022-09-29,286.6,287.81,282.56,282.65,-0.54,-0.19%,128427
2022-09-28,287.66,289.75,280.8,283.19,-7.01,-2.42%,160839
2022-09-27,290.27,290.75,286.76,290.2,0.43,0.15%,152309
2022-09-26,293.65,293.96,289.01,289.77,-7.97,-2.68%,177691
2022-09-23,301.48,302.09,296.85,297.74,-3.91,-1.30%,114627
2022-09-22,300.67,302.19,299.3,301.65,-3.02,-0.99%,114961
2022-09-21,305.09,306.07,303.77,304.67,-2.87,-0.93%,104487
2022-09-20,308.76,309.98,306.79,307.54,1.05,0.34%,96957
2022-09-19,309.58,309.89,305.68,306.49,-2.2,-0.71%,101185
2022-09-16,308.58,309.54,307.03,308.69,-1.94,-0.62%,135937
2022-09-15,313.15,313.84,310.63,310.63,-2.11,-0.67%,111218
2022-09-14,310.08,313.94,309.06,312.74,-5.82,-1.83%,118207
2022-09-13,313.93,319.37,313.93,318.56,9.44,3.05%,150586
2022-09-08,310.23,310.51,308.26,309.12,0.96,0.31%,149121
2022-09-07,310.86,311.1,306.69,308.16,-4.85,-1.55%,146286
2022-09-06,313.36,314.97,311.69,313.01,0.54,0.17%,91544
2022-09-05,313.09,315.22,310.91,312.47,-0.45,-0.14%,112444
2022-09-02,316.46,316.74,312.18,312.92,-2.1,-0.67%,133783
2022-09-01,318.74,318.76,315.02,315.02,-7.94,-2.46%,183420
2022-08-31,316.96,323.37,316.26,322.96,3.47,1.09%,228418
2022-08-30,317.97,320,316.94,319.49,3.14,0.99%,133480
2022-08-29,317.45,317.47,315.48,316.35,-7.56,-2.33%,203734
2022-08-26,325.36,326.59,323.3,323.91,0.28,0.09%,188815
2022-08-25,321.58,323.63,320.81,323.63,3.77,1.18%,130657
2022-08-24,320.15,320.99,318.16,319.86,1.17,0.37%,156496
2022-08-23,320.85,321.5,318.26,318.69,-4.08,-1.26%,118040
2022-08-22,323.29,324.42,321.83,322.77,-4.02,-1.23%,93521
2022-08-19,329.06,329.08,326.34,326.79,-2.01,-0.61%,125260
2022-08-18,327.47,329.94,326.06,328.8,-1.11,-0.34%,101500
2022-08-17,332.11,333.24,329.3,329.91,-1.87,-0.56%,105787
2022-08-16,332.68,333.47,331.08,331.78,1.11,0.34%,131425
2022-08-12,329.23,331.12,329.07,330.67,0.75,0.23%,138074
2022-08-11,328.2,329.92,327.74,329.92,5.57,1.72%,140037
2022-08-10,326.3,326.43,323.86,324.35,-3.76,-1.15%,134971
2022-08-09,327.21,328.62,325.28,328.11,0.88,0.27%,121621
2022-08-08,326.05,327.45,325.21,327.23,-0.27,-0.08%,113665
2022-08-05,326.71,328.47,326.36,327.5,2.03,0.62%,119887
2022-08-04,326.11,326.4,324.38,325.47,1.67,0.52%,110170
2022-08-03,321.48,323.8,320.25,323.8,2.16,0.67%,93895
2022-08-02,322.64,322.85,320.21,321.64,-1.33,-0.41%,113133
2022-08-01,322.14,324.31,320.86,322.97,-0.34,-0.11%,111147
2022-07-29,324.38,325.83,321.95,323.31,1.69,0.53%,163690
2022-07-28,322.89,323.73,320.76,321.62,1.88,0.59%,131104
2022-07-27,319.83,320.04,317.3,319.74,0.13,0.04%,88689
2022-07-26,317.39,319.91,317.03,319.61,1.27,0.40%,87527
2022-07-25,316.4,320.07,316.2,318.34,1.01,0.32%,94023
2022-07-22,319.12,320.94,317,317.33,-2.35,-0.74%,120586
2022-07-21,316.22,320.14,316.22,319.68,3.66,1.16%,91222
2022-07-20,319.15,319.68,315.48,316.02,2.12,0.68%,113805
2022-07-19,313.38,314.06,311.81,313.9,-0.97,-0.31%,95255
2022-07-18,311.06,315.17,310.6,314.87,6.96,2.26%,113852
2022-07-15,307.45,308.14,302.1,307.91,2.56,0.84%,125245
